Procedure Code Category,ICD-10 CODES,Procedure Code Descriptions
AAA,04B00ZZ,"Excision of Abdominal Aorta, Open Approach"
AAA,04B04ZZ,"Excision of Abdominal Aorta, Percutaneous Endoscopic Approach"
AAA,04R007Z,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach"
AAA,04R00JZ,"Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach"
AAA,04R00KZ,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach"
AAA,04R047Z,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
AAA,04R04JZ,"Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
AAA,04R04KZ,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
AMP,0X600ZZ,"Detachment at Right Forequarter, Open Approach"
AMP,0X610ZZ,"Detachment at Left Forequarter, Open Approach"
AMP,0X620ZZ,"Detachment at Right Shoulder Region, Open Approach"
AMP,0X630ZZ,"Detachment at Left Shoulder Region, Open Approach"
AMP,0X680Z1,"Detachment at Right Upper Arm, High, Open Approach"
AMP,0X680Z2,"Detachment at Right Upper Arm, Mid, Open Approach"
AMP,0X680Z3,"Detachment at Right Upper Arm, Low, Open Approach"
AMP,0X690Z1,"Detachment at Left Upper Arm, High, Open Approach"
AMP,0X690Z2,"Detachment at Left Upper Arm, Mid, Open Approach"
AMP,0X690Z3,"Detachment at Left Upper Arm, Low, Open Approach"
AMP,0X6B0ZZ,"Detachment at Right Elbow Region, Open Approach"
AMP,0X6C0ZZ,"Detachment at Left Elbow Region, Open Approach"
AMP,0X6D0Z1,"Detachment at Right Lower Arm, High, Open Approach"
AMP,0X6D0Z2,"Detachment at Right Lower Arm, Mid, Open Approach"
AMP,0X6D0Z3,"Detachment at Right Lower Arm, Low, Open Approach"
AMP,0X6F0Z1,"Detachment at Left Lower Arm, High, Open Approach"
AMP,0X6F0Z2,"Detachment at Left Lower Arm, Mid, Open Approach"
AMP,0X6F0Z3,"Detachment at Left Lower Arm, Low, Open Approach"
